SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharges,TotalCharges,PredictedChurnProb,PredictedChurn,PredictedChurnLabel,RevenueAtRisk,ActualChurn,CorrectPrediction,Contract,InternetService,PaymentMethod,ChurnRiskBucket,ChurnRiskOrder
0,0,0,13,1,0,0,1,0,0,0,0,1,74.65,966.25,0.4196347093529261,0,No,31.33,0,Correct,One Year,Fiber optic,Mailed Check,Medium Risk,1
0,0,0,46,1,1,1,0,0,0,1,0,1,89.15,4245.55,0.4349496312442767,0,No,38.78,0,Correct,One Year,Fiber optic,Credit Card (Auto),Medium Risk,1
0,1,1,62,1,0,1,1,1,1,1,1,0,86.1,5215.25,0.015011054064510638,0,No,1.29,0,Correct,Two Year,Fiber optic,Electronic Check,Low Risk,0
0,0,0,4,1,1,0,0,0,0,0,0,1,76.05,318.9,0.8836817176412127,1,Yes,67.2,1,Correct,One Year,Fiber optic,Electronic Check,High Risk,2
0,0,0,5,1,1,0,0,0,0,1,1,1,93.9,486.85,0.8958401468265406,1,Yes,84.12,1,Correct,One Year,Fiber optic,Mailed Check,High Risk,2
0,0,0,1,1,0,0,0,0,0,0,0,1,45.85,45.85,0.7762286194831366,1,Yes,35.59,1,Correct,One Year,Fiber optic,Mailed Check,High Risk,2
0,1,0,72,1,1,1,1,1,1,1,1,0,115.15,8349.45,0.015086899119623878,0,No,1.74,0,Correct,Two Year,Fiber optic,Credit Card (Auto),Low Risk,0
0,1,0,55,1,1,1,1,0,1,0,0,1,66.05,3462.1,0.05324092667746614,0,No,3.52,0,Correct,One Year,Fiber optic,Credit Card (Auto),Low Risk,0
0,0,0,36,1,0,0,0,0,0,0,0,1,20.35,695.85,0.019629662021122492,0,No,0.4,0,Correct,One Year,No,Credit Card (Auto),Low Risk,0
1,0,0,42,1,1,0,1,1,0,1,1,1,104.75,4323.45,0.7042122349389127,1,Yes,73.77,1,Correct,One Year,Fiber optic,Credit Card (Auto),High Risk,2
0,1,1,57,1,0,0,0,0,0,0,0,0,19.4,1061.6,0.047087941969661644,0,No,0.91,0,Correct,One Year,No,Mailed Check,Low Risk,0
0,1,1,72,1,1,0,0,0,0,0,0,0,24.3,1643.25,0.0030566952169230922,0,No,0.07,0,Correct,Two Year,No,Credit Card (Auto),Low Risk,0
0,1,1,68,0,0,0,1,1,1,1,1,0,60.3,4109.0,0.008494718861699575,0,No,0.51,0,Correct,Two Year,Fiber optic,Credit Card (Auto),Low Risk,0
0,1,1,61,1,1,0,0,1,0,1,1,1,99.9,6241.35,0.5512424048043472,0,No,55.07,0,Correct,One Year,Fiber optic,Electronic Check,Medium Risk,1
1,1,1,46,1,1,1,1,0,1,1,1,1,110.2,4972.1,0.3941903016421774,0,No,43.44,0,Correct,One Year,Fiber optic,Electronic Check,Medium Risk,1
0,0,0,55,1,1,0,0,0,0,1,1,1,96.8,5283.95,0.6981716981961206,1,Yes,67.58,1,Correct,One Year,Fiber optic,Electronic Check,High Risk,2
1,0,0,17,1,0,0,0,0,0,0,0,1,45.05,770.6,0.5852485697903027,1,Yes,26.37,1,Correct,One Year,Fiber optic,Electronic Check,Medium Risk,1
0,1,0,42,1,1,0,0,1,1,1,1,1,106.15,4512.7,0.6063262674584293,1,Yes,64.36,1,Correct,One Year,Fiber optic,Credit Card (Auto),Medium Risk,1
0,1,0,52,1,1,0,1,0,1,1,1,1,102.7,5138.1,0.5208314783564121,0,No,53.49,0,Correct,One Year,Fiber optic,Credit Card (Auto),Medium Risk,1
1,0,0,8,1,0,0,0,0,0,0,0,0,19.65,164.3,0.21329123540825148,0,No,4.19,1,Wrong,One Year,No,Electronic Check,Low Risk,0
1,0,0,18,1,1,0,1,0,0,0,0,1,80.55,1411.65,0.620077818345792,1,Yes,49.95,0,Wrong,One Year,Fiber optic,Credit Card (Auto),Medium Risk,1
0,1,1,35,0,0,0,0,0,1,1,0,0,40.9,1383.6,0.13924631556998865,0,No,5.7,0,Correct,One Year,Fiber optic,Mailed Check,Low Risk,0
0,0,0,43,1,0,0,0,0,0,0,0,1,19.65,779.25,0.011950392682485277,0,No,0.23,0,Correct,Two Year,No,Credit Card (Auto),Low Risk,0
0,1,1,48,1,1,0,0,0,0,0,0,0,23.55,1173.35,0.004665253507909064,0,No,0.11,0,Correct,Two Year,No,Mailed Check,Low Risk,0
0,1,0,69,1,1,1,1,1,1,0,1,1,107.2,7317.1,0.2821009999990346,0,No,30.24,0,Correct,One Year,Fiber optic,Credit Card (Auto),Low Risk,0
1,0,0,9,1,0,0,0,0,0,0,1,1,79.55,718.55,0.8377296521902338,1,Yes,66.64,0,Wrong,One Year,Fiber optic,Electronic Check,High Risk,2
1,0,0,37,1,1,0,0,0,0,1,1,1,96.55,3580.3,0.797778885853744,1,Yes,77.03,1,Correct,One Year,Fiber optic,Electronic Check,High Risk,2
0,0,0,8,1,0,0,0,0,0,0,0,0,44.45,369.3,0.45836050061049116,0,No,20.37,0,Correct,One Year,Fiber optic,Mailed Check,Medium Risk,1
0,1,0,2,1,0,0,0,0,1,1,1,1,94.2,167.5,0.8002242165255069,1,Yes,75.38,1,Correct,One Year,Fiber optic,Electronic Check,High Risk,2
0,0,0,50,0,0,0,1,1,1,0,0,0,39.7,1932.75,0.12500731021852723,0,No,4.96,0,Correct,Two Year,Fiber optic,Credit Card (Auto),Low Risk,0
1,0,0,1,1,0,0,0,0,0,0,0,1,71.65,71.65,0.8762945977622771,1,Yes,62.79,1,Correct,One Year,Fiber optic,Electronic Check,High Risk,2
0,0,0,2,1,0,0,0,0,0,0,0,0,19.75,39.3,0.24627725536872838,0,No,4.86,0,Correct,One Year,No,Mailed Check,Low Risk,0
0,0,0,8,1,0,0,1,0,1,1,0,1,65.45,554.45,0.37086519240708765,0,No,24.27,0,Correct,One Year,Fiber optic,Electronic Check,Medium Risk,1
0,0,0,12,1,0,0,0,0,0,0,1,0,78.1,947.3,0.6128313696633549,1,Yes,47.86,1,Correct,One Year,Fiber optic,Credit Card (Auto),Medium Risk,1
1,1,0,66,1,1,0,1,1,1,1,1,1,110.85,7491.75,0.4641059750426168,0,No,51.45,1,Wrong,One Year,Fiber optic,Electronic Check,Medium Risk,1
0,1,1,71,1,1,1,1,1,1,1,1,1,91.25,6589.6,0.005072793811342327,0,No,0.46,0,Correct,Two Year,Fiber optic,Mailed Check,Low Risk,0
1,1,0,70,1,1,1,1,1,1,1,1,1,113.65,7714.65,0.06751039630237116,0,No,7.67,0,Correct,Two Year,Fiber optic,Electronic Check,Low Risk,0
0,1,0,50,1,1,0,0,0,1,1,1,0,99.4,5059.75,0.44152795763774827,0,No,43.89,0,Correct,One Year,Fiber optic,Electronic Check,Medium Risk,1
